ForeignWorker,Age,LoanAmount,NumberOfLiableIndividuals,Gender,CheckingAccountBalance_geq_200,LoanDuration,YearsAtCurrentHome,HasGuarantor,NumberOfOtherLoansAtBank,OtherLoansAtStore,LoanRateAsPercentOfIncome,is_not_ood
-0.2,-0.12,0.09,-0.42,-1.48,-0.26,2.32,-0.09,-0.24,-0.7,0.0,-0.86,0
-0.2,2.14,1.16,-0.42,0.68,-0.26,-0.06,1.05,-0.24,-0.7,0.0,-1.75,1
-0.2,-0.12,-0.62,-0.42,0.68,-0.26,1.73,0.86,-0.24,-0.7,0.0,0.92,0
-0.2,0.91,-0.91,-0.42,0.68,-0.26,-0.73,-0.77,-0.24,1.04,0.0,0.92,1
-0.2,-0.31,0.09,0.15,0.68,-0.26,0.54,-0.23,-0.24,-0.15,0.0,0.92,0
-0.2,-0.66,-0.69,-0.42,0.68,3.88,-0.28,0.86,-0.24,1.33,0.0,-0.86,0
-0.2,-1.1,-0.86,-0.42,-1.48,-0.26,-0.73,1.05,-0.24,-0.7,0.0,-0.86,1
-0.2,-0.48,-0.11,0.15,0.68,-0.26,-0.21,1.05,-0.24,1.33,0.0,-0.86,0
-0.2,-0.6,0.14,-0.42,0.68,-0.26,-0.1,-0.77,4.12,-0.24,0.0,-1.75,0
-0.2,1.88,-0.5,2.38,0.68,-0.26,-0.01,1.05,-0.24,-0.22,0.0,0.92,0
-0.2,-1.01,-0.5,-0.15,0.68,3.88,-0.28,-0.09,-0.24,-0.12,0.0,0.92,0
-0.2,-0.22,-0.5,-0.42,0.68,-0.26,0.28,-0.77,4.12,1.04,0.0,0.92,1
5.05,-0.22,-0.28,0.34,0.68,-0.26,-0.21,-0.09,4.12,-0.7,0.0,0.92,0
-0.2,1.44,0.09,-0.42,0.68,-0.26,-0.28,-0.77,-0.24,0.39,0.0,-0.86,0
-0.2,-0.75,-0.24,0.15,0.68,-0.26,-0.2,-0.77,-0.24,-0.12,0.0,0.92,0
-0.2,-0.92,-0.28,-0.42,-1.48,-0.26,-0.8,-0.19,-0.24,-0.7,0.0,0.92,0
-0.2,0.74,-0.37,-0.42,-1.48,-0.26,-0.8,-0.59,4.12,-0.23,0.0,0.92,0
5.05,-0.03,-0.63,2.38,0.68,3.88,-0.1,0.86,-0.24,-0.22,0.0,-1.75,0
-0.2,-0.48,-0.37,-0.39,0.68,-0.26,-0.04,-0.77,-0.24,-0.23,0.0,-1.75,0
-0.2,0.06,-0.36,2.38,0.68,-0.26,-0.1,-0.59,-0.24,1.04,0.0,0.92,0
-0.2,-0.66,-0.22,-0.42,-1.48,-0.26,-0.48,1.05,-0.24,1.04,0.0,-0.86,1
-0.2,-0.6,-0.46,2.38,0.68,-0.26,-0.99,-0.09,-0.24,-0.12,0.0,-0.86,0
-0.2,1.44,0.25,0.15,0.68,-0.26,-0.8,-0.59,-0.24,1.04,0.0,-1.75,0
5.05,0.28,-0.46,-0.42,0.68,-0.26,-0.01,-0.23,-0.24,1.04,0.0,0.92,0
-0.2,-0.08,-0.73,-0.42,0.68,-0.26,-0.8,-0.09,-0.24,-0.12,0.0,0.92,0
-0.2,-0.03,-0.28,-0.42,0.68,-0.26,0.79,-0.09,-0.24,-0.12,0.0,-0.86,0
-0.2,-0.92,1.66,-0.42,-1.48,-0.26,1.3,-0.77,-0.24,1.04,0.0,0.92,1
-0.2,-0.48,0.09,-0.42,0.68,-0.26,-0.2,0.86,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.48,0.09,-0.42,-1.48,-0.26,-0.16,0.86,4.12,-0.7,0.0,-0.86,0
-0.2,-0.6,-0.73,0.15,-1.48,-0.26,-0.16,0.02,-0.24,1.04,0.0,0.92,0
-0.2,0.06,2.14,-0.39,0.68,-0.26,-0.16,-1.69,-0.24,-0.12,0.0,-0.86,0
-0.2,1.44,-0.37,-0.42,-1.48,-0.26,-0.16,0.16,-0.24,1.33,0.0,-1.75,0
-0.2,-0.83,-0.64,-0.42,-1.48,-0.26,-0.01,-0.23,-0.24,0.39,0.0,0.03,0
-0.2,0.1,-0.64,-0.42,-1.48,-0.26,-0.37,-0.09,-0.24,-0.7,0.0,0.03,0
-0.2,-0.03,-0.24,-0.39,0.68,-0.26,-0.73,-0.11,-0.24,-0.7,0.0,0.92,0
-0.2,0.13,1.6,-0.42,-1.48,-0.26,2.32,1.05,4.12,-0.7,0.0,-0.86,1
-0.2,-0.57,-0.12,2.38,0.68,-0.26,-0.04,1.05,-0.24,-0.22,0.0,0.92,0
-0.2,0.1,2.14,-0.42,-1.48,-0.26,-0.01,-1.69,-0.24,-0.24,0.0,-1.75,0
-0.2,-0.12,-0.76,2.38,-1.48,-0.26,-0.2,-0.11,4.12,-0.17,0.0,0.92,0
-0.2,1.61,-0.59,2.38,0.68,-0.26,0.28,1.05,-0.24,1.04,0.0,0.92,1
-0.2,0.1,-0.12,-0.42,0.68,3.88,-0.01,-0.77,-0.24,-0.24,0.0,-0.86,0
-0.2,-0.12,0.04,0.34,0.68,-0.26,0.28,1.05,-0.24,-0.7,0.0,0.92,0
-0.2,0.3,-0.36,-0.42,0.68,-0.26,-0.8,0.16,-0.24,1.33,0.0,0.92,0
-0.2,-0.75,-0.46,-0.42,0.68,-0.26,-0.2,0.16,-0.24,1.04,0.0,0.92,0
-0.2,-0.22,-0.12,-0.15,0.68,-0.26,1.73,-0.11,-0.24,-0.7,0.0,0.92,0
-0.2,0.39,0.77,-0.15,0.68,-0.26,-0.8,-0.09,-0.24,-0.7,0.0,0.03,0
-0.2,0.3,-0.37,-0.42,0.68,-0.26,-0.06,1.05,-0.24,-0.7,0.0,0.92,1
-0.2,-0.48,-0.36,-0.42,0.68,-0.26,-0.21,1.05,-0.24,1.04,0.0,0.92,0
-0.2,0.1,-0.36,-0.15,0.68,-0.26,-0.23,0.21,4.12,-0.24,0.0,0.03,0
-0.2,-0.6,0.09,-0.42,0.68,-0.26,-0.99,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,0.22,0.09,-0.42,-1.48,-0.26,-0.04,0.14,-0.24,-0.7,0.0,0.92,0
-0.2,-0.03,-0.37,-0.39,-1.48,-0.26,-0.21,-1.69,-0.24,-0.7,0.0,0.92,0
-0.2,0.1,-0.28,-0.42,0.68,-0.26,-1.24,0.16,-0.24,1.04,0.0,0.92,0
-0.2,-1.1,-0.86,-0.42,-1.48,-0.26,-0.16,-0.09,-0.24,1.33,0.0,0.92,0
-0.2,-0.12,-0.37,2.38,-1.48,-0.26,-1.41,0.86,-0.24,-0.17,0.0,-1.75,0
-0.2,-0.48,-0.46,-0.42,-1.48,-0.26,-0.8,0.86,-0.24,1.04,0.0,0.92,0
-0.2,0.48,0.09,-0.42,0.68,3.88,-0.37,-0.23,-0.24,-0.7,0.0,-0.86,0
-0.2,0.06,-0.36,-0.42,-1.48,-0.26,-1.41,0.14,-0.24,-0.15,0.0,-1.75,0
-0.2,-0.6,-0.28,0.34,-1.48,-0.26,-0.01,0.14,-0.24,1.04,0.0,-0.86,0
-0.2,-0.03,-0.24,2.38,0.68,-0.26,-0.28,1.05,-0.24,-0.12,0.0,-0.86,0
-0.2,0.39,-0.28,0.15,-1.48,-0.26,1.73,1.05,-0.24,-0.24,0.0,-0.86,0
-0.2,-0.6,0.12,-0.42,0.68,-0.26,-0.37,-0.77,-0.24,-0.17,0.0,0.92,0
-0.2,0.06,-0.54,-0.39,0.68,-0.26,-0.16,0.21,-0.24,0.39,0.0,-0.86,0
-0.2,0.65,-0.73,-0.42,0.68,-0.26,-1.24,-0.77,-0.24,-0.7,0.0,0.03,1
-0.2,0.28,-0.79,-0.42,0.68,-0.26,-0.8,0.86,4.12,1.33,0.0,0.03,0
-0.2,-0.22,-0.24,0.15,0.68,-0.26,-0.73,-0.19,-0.24,1.33,0.0,0.92,0
-0.2,0.39,-0.06,2.38,0.68,-0.26,0.79,-0.77,-0.24,1.04,0.0,0.03,1
-0.2,0.83,-0.34,2.38,0.68,-0.26,-0.37,-0.59,-0.24,-0.23,0.0,0.92,0
-0.2,2.57,-0.83,-0.42,0.68,-0.26,-0.73,1.05,-0.24,4.53,0.0,0.92,1
-0.2,-0.08,-0.81,-0.39,0.68,-0.26,-0.2,0.14,-0.24,-0.15,0.0,-0.86,0
-0.2,-0.12,0.26,-0.39,0.68,-0.26,-0.21,1.05,-0.24,-0.15,0.0,-1.75,0
-0.2,0.06,3.23,-0.42,0.68,-0.26,-0.8,-0.77,-0.24,1.33,0.0,-0.86,0
-0.2,-1.36,0.52,-0.42,-1.48,-0.26,-0.73,1.05,-0.24,-0.7,0.0,-1.75,1
-0.2,0.1,-0.61,0.15,0.68,-0.26,-0.21,-1.69,-0.24,-0.7,0.0,0.92,0
-0.2,0.28,-0.12,-0.42,-1.48,-0.26,-0.21,-0.09,-0.24,-0.23,0.0,0.92,0
-0.2,-0.22,2.14,0.34,0.68,-0.26,-0.04,-0.09,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.6,-0.64,-0.42,0.68,-0.26,-0.01,-0.23,-0.24,-0.12,0.0,0.03,0
-0.2,-1.1,1.08,-0.39,-1.48,-0.26,-0.2,-0.09,-0.24,-0.12,0.0,0.92,0
-0.2,1.18,-0.5,-0.42,0.68,-0.26,-0.28,1.05,-0.24,-0.15,0.0,-1.75,0
-0.2,0.1,-0.39,-0.42,-1.48,-0.26,-0.9,0.21,-0.24,-0.12,0.0,-1.75,0
5.05,-0.75,-0.91,-0.42,0.68,3.88,-1.24,-0.77,-0.24,-0.7,0.0,-0.86,1
-0.2,0.04,0.09,-0.42,0.68,-0.26,-0.28,0.21,-0.24,-0.15,0.0,0.92,0
-0.2,0.1,-0.36,-0.15,0.68,3.88,-0.73,0.02,-0.24,-0.7,0.0,0.92,0
-0.2,1.61,1.51,-0.42,-1.48,-0.26,-0.01,0.02,-0.24,-0.17,0.0,-0.86,0
-0.2,-0.66,-0.99,-0.42,0.68,-0.26,-1.24,0.14,4.12,-0.7,0.0,0.03,1
-0.2,-0.6,-0.48,0.34,-1.48,-0.26,-0.01,1.05,4.12,-0.7,0.0,0.92,0
-0.2,-1.27,-0.36,-0.39,0.68,-0.26,1.73,0.21,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.6,2.14,-0.42,0.68,-0.26,-0.21,1.05,-0.24,1.33,0.0,-0.86,0
-0.2,-0.66,2.14,-0.39,0.68,-0.26,1.73,0.86,-0.24,1.04,0.0,0.92,0
-0.2,0.28,-0.12,-0.42,0.68,-0.26,-0.01,-0.59,-0.24,1.04,0.0,0.92,0
-0.2,-1.01,-0.11,-0.39,-1.48,-0.26,-0.06,1.05,-0.24,-0.23,0.0,-1.75,0
-0.2,-0.6,-0.11,-0.39,0.68,-0.26,-0.28,-0.09,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.48,-0.12,2.38,0.68,-0.26,-0.8,-0.09,-0.24,-0.22,0.0,-1.75,0
-0.2,-0.6,0.09,-0.42,-1.48,-0.26,-0.23,-0.23,-0.24,-0.7,0.0,0.92,0
-0.2,-0.83,-0.65,-0.42,0.68,-0.26,-0.73,0.14,-0.24,-0.7,0.0,0.92,1
-0.2,0.1,-0.28,-0.42,0.68,-0.26,-0.2,-0.19,-0.24,1.04,0.0,-0.86,0
-0.2,-0.13,-0.12,0.15,0.68,-0.26,-0.1,-0.77,-0.24,1.04,0.0,-1.75,0
-0.2,-0.03,-0.41,-0.42,0.68,-0.26,-0.04,-0.09,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.08,-0.11,-0.42,0.68,-0.26,-0.21,1.05,-0.24,0.39,0.0,0.92,0
-0.2,-0.92,-0.28,-0.42,-1.48,-0.26,-0.01,0.86,-0.24,-0.7,0.0,0.03,0
-0.2,-0.66,0.09,0.15,0.68,-0.26,-0.2,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,-0.12,2.14,-0.42,-1.48,-0.26,-0.2,0.21,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.48,2.14,-0.42,0.68,-0.26,-0.01,-0.09,-0.24,-0.7,0.0,0.92,0
-0.2,-0.08,-0.28,-0.42,-1.48,-0.26,-0.1,-0.09,4.12,-0.7,0.0,0.92,0
5.05,-0.31,-0.21,-0.39,0.68,-0.26,-0.23,-0.19,-0.24,-0.17,0.0,0.92,0
-0.2,0.28,-0.71,-0.42,0.68,-0.26,-0.73,-0.19,-0.24,-0.7,0.0,0.92,0
-0.2,1.61,-0.12,-0.42,0.68,-0.26,-0.1,-0.23,-0.24,-0.23,0.0,0.92,0
-0.2,1.44,2.14,-0.39,0.68,-0.26,-0.37,-0.23,-0.24,-0.7,0.0,0.92,0
-0.2,-0.13,0.92,-0.42,0.68,-0.26,1.3,1.05,-0.24,1.04,0.0,0.03,1
-0.2,1.0,-0.73,0.34,0.68,-0.26,-1.24,-0.19,-0.24,-0.17,0.0,0.92,0
-0.2,-0.03,-0.36,-0.42,-1.48,-0.26,1.73,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,-0.6,-0.28,-0.39,0.68,-0.26,0.28,1.05,-0.24,1.04,0.0,0.03,0
-0.2,0.28,0.11,-0.39,0.68,-0.26,-0.48,-0.09,-0.24,-0.7,0.0,0.03,0
-0.2,-0.08,-0.37,-0.42,-1.48,-0.26,-1.24,-0.09,-0.24,-0.7,0.0,0.03,0
-0.2,-1.1,2.14,-0.42,0.68,-0.26,2.06,1.05,-0.24,-0.7,0.0,0.92,0
-0.2,-0.03,-0.12,-0.42,-1.48,-0.26,-0.23,-0.19,-0.24,1.33,0.0,0.92,0
-0.2,0.06,-0.12,-0.39,0.68,-0.26,-0.8,1.05,-0.24,-0.7,0.0,-1.75,0
-0.2,0.48,-0.85,0.15,0.68,-0.26,-0.8,-0.09,-0.24,-0.7,0.0,0.92,0
-0.2,1.0,0.09,0.15,0.68,3.88,-0.04,-0.23,-0.24,-0.7,0.0,0.92,0
-0.2,-0.05,0.75,0.15,-1.48,-0.26,-0.48,1.05,-0.24,-0.24,0.0,-1.75,0
-0.2,-1.1,-0.37,0.34,0.68,-0.26,-0.21,1.05,-0.24,-0.12,0.0,-0.86,0
-0.2,-1.1,-0.65,-0.42,0.68,-0.26,-0.48,-1.69,-0.24,-0.7,0.0,0.92,1
-0.2,0.06,-0.11,-0.42,0.68,-0.26,-0.2,-0.77,-0.24,-0.24,0.0,0.92,0
-0.2,0.28,-0.12,-0.42,0.68,-0.26,-0.16,-0.59,-0.24,-0.12,0.0,0.92,0
-0.2,-0.08,-0.5,0.34,-1.48,-0.26,-0.23,-0.19,-0.24,1.04,0.0,-1.75,0
-0.2,0.91,-0.36,-0.42,0.68,-0.26,0.28,-0.59,-0.24,-0.23,0.0,0.92,0
-0.2,0.28,0.53,-0.42,0.68,-0.26,-0.1,-0.09,-0.24,-0.7,0.0,0.92,0
-0.2,-0.57,-0.37,-0.42,-1.48,-0.26,-1.24,0.16,-0.24,-0.23,0.0,-0.86,0
-0.2,1.44,-0.46,-0.42,-1.48,-0.26,-0.2,0.02,-0.24,-0.7,0.0,-1.75,0
-0.2,1.44,-0.89,-0.42,-1.48,-0.26,-0.73,-0.09,-0.24,-0.15,0.0,0.92,0
-0.2,-0.57,0.09,-0.39,-1.48,-0.26,0.28,1.05,-0.24,0.39,0.0,-1.75,0
-0.2,1.96,-0.12,-0.42,-1.48,-0.26,-0.37,-0.11,-0.24,4.53,0.0,0.92,0
-0.2,1.61,-0.24,0.15,0.68,-0.26,-0.1,0.14,-0.24,-0.7,0.0,0.92,0
-0.2,-0.03,0.09,-0.42,0.68,3.88,1.73,1.05,-0.24,-0.7,0.0,0.92,0
-0.2,-0.31,-0.14,-0.42,0.68,-0.26,-0.9,-0.09,-0.24,-0.15,0.0,-1.75,0
-0.2,1.0,-0.37,0.15,0.68,-0.26,-0.04,-0.59,-0.24,-0.7,0.0,0.92,0
-0.2,-0.83,-0.46,-0.42,-1.48,-0.26,-0.01,-0.09,-0.24,-0.22,0.0,0.92,0
-0.2,-0.92,-0.46,-0.42,0.68,-0.26,-0.23,-0.59,4.12,-0.24,0.0,0.92,0
-0.2,0.48,-0.24,2.38,0.68,-0.26,-0.1,1.05,-0.24,-0.7,0.0,0.92,0
-0.2,1.0,1.84,-0.42,0.68,-0.26,1.3,1.05,-0.24,-0.7,0.0,0.03,1
-0.2,0.1,-0.11,-0.42,0.68,-0.26,-0.37,-0.59,-0.24,-0.7,0.0,0.92,0
-0.2,-0.6,1.45,-0.42,0.68,-0.26,-0.28,-0.09,-0.24,-0.17,0.0,0.03,0
-0.2,-0.08,-0.11,2.38,0.68,-0.26,-1.24,0.21,-0.24,-0.23,0.0,-0.86,0
-0.2,-0.57,2.14,-0.15,0.68,-0.26,-0.28,0.14,-0.24,-0.12,0.0,-0.86,0
-0.2,0.06,2.14,-0.42,0.68,-0.26,-0.16,-0.09,-0.24,-0.12,0.0,0.03,0
-0.2,1.44,-0.36,-0.42,-1.48,-0.26,-0.16,-0.09,-0.24,-0.22,0.0,0.92,0
-0.2,-0.66,-0.66,-0.42,0.68,-0.26,0.28,-0.77,-0.24,-0.7,0.0,0.92,1
-0.2,-0.57,2.14,-0.42,0.68,-0.26,-0.16,-0.19,-0.24,-0.7,0.0,0.92,0
-0.2,0.1,-0.26,0.15,0.68,-0.26,-0.2,0.02,-0.24,-0.7,0.0,0.03,0
-0.2,-0.66,-0.78,-0.39,0.68,-0.26,1.73,0.21,-0.24,-0.12,0.0,0.92,0
-0.2,0.3,-0.46,-0.42,-1.48,-0.26,1.73,0.21,-0.24,-0.7,0.0,-0.86,0
-0.2,0.22,-0.63,2.38,0.68,-0.26,-0.73,-1.69,-0.24,1.04,0.0,0.92,1
-0.2,-0.6,-0.11,-0.15,0.68,-0.26,-0.28,-0.11,-0.24,-0.7,0.0,0.03,0
-0.2,0.91,-0.24,-0.42,-1.48,-0.26,-0.37,0.16,4.12,-0.22,0.0,0.92,0
-0.2,-0.75,-1.04,-0.42,-1.48,-0.26,1.73,-0.59,-0.24,-0.7,0.0,0.92,0
-0.2,0.1,-0.36,-0.42,-1.48,-0.26,-0.23,1.05,-0.24,-0.12,0.0,0.03,0
-0.2,-0.48,0.09,-0.39,-1.48,-0.26,-0.28,-0.11,-0.24,-0.7,0.0,-0.86,0
-0.2,-0.03,-0.28,-0.42,0.68,-0.26,-0.01,1.05,-0.24,-0.17,0.0,0.92,0
-0.2,0.06,2.14,-0.42,0.68,-0.26,-0.1,1.05,-0.24,-0.23,0.0,0.92,0
-0.2,1.44,-0.49,-0.15,-1.48,3.88,-0.73,-0.77,-0.24,0.39,0.0,-0.86,0
-0.2,2.05,-0.36,-0.42,-1.48,-0.26,-0.04,0.16,-0.24,-0.17,0.0,-1.75,0
-0.2,-1.01,-0.46,-0.42,-1.48,-0.26,-0.04,-0.11,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.08,-0.5,-0.42,0.68,-0.26,-0.01,0.16,-0.24,0.39,0.0,0.92,0
-0.2,0.28,0.09,-0.42,0.68,-0.26,-0.48,-0.19,-0.24,1.33,0.0,0.03,0
-0.2,1.61,-0.07,-0.42,0.68,-0.26,2.32,1.05,-0.24,-0.7,0.0,0.03,1
-0.2,-0.6,0.09,-0.15,-1.48,-0.26,-0.28,0.16,-0.24,-0.22,0.0,-1.75,0
-0.2,0.1,-0.37,-0.39,0.68,-0.26,-0.01,-0.09,-0.24,-0.7,0.0,0.92,0
-0.2,-0.57,-0.46,-0.42,0.68,-0.26,-0.2,-1.69,-0.24,0.39,0.0,-1.75,0
-0.2,-0.08,0.89,0.34,0.68,-0.26,1.3,0.86,-0.24,-0.12,0.0,0.92,0
-0.2,-0.31,-0.7,-0.39,0.68,-0.26,-0.37,-0.11,4.12,-0.7,0.0,0.92,0
-0.2,-0.6,-0.24,-0.15,-1.48,-0.26,0.28,-0.59,-0.24,1.04,0.0,0.92,0
-0.2,0.06,-0.73,0.34,0.68,-0.26,-1.24,0.16,-0.24,-0.22,0.0,0.03,0
-0.2,0.1,-0.34,-0.42,-1.48,-0.26,-0.2,1.05,-0.24,1.33,0.0,-0.86,0
-0.2,-0.66,-0.36,-0.42,0.68,-0.26,-0.1,-0.11,-0.24,-0.7,0.0,0.92,0
-0.2,0.1,-0.5,-0.42,0.68,-0.26,-0.73,-0.11,-0.24,-0.23,0.0,0.92,0
-0.2,-1.1,-0.28,-0.15,-1.48,3.88,-0.01,-0.09,-0.24,-0.24,0.0,0.03,0
-0.2,-0.08,-0.36,-0.42,0.68,-0.26,-0.28,-1.69,-0.24,-0.23,0.0,0.03,0
-0.2,-0.6,-0.12,-0.42,0.68,-0.26,-0.23,-1.69,-0.24,1.04,0.0,0.03,0
-0.2,0.74,-0.24,0.15,-1.48,-0.26,-0.04,-0.59,-0.24,1.33,0.0,-1.75,0
-0.2,1.44,-0.37,-0.42,0.68,-0.26,-0.28,-0.77,-0.24,-0.24,0.0,0.92,0
-0.2,-0.03,-0.37,-0.42,0.68,-0.26,-0.16,1.05,-0.24,1.04,0.0,0.92,0
-0.2,-0.31,0.52,-0.42,0.68,-0.26,1.3,-0.77,-0.24,-0.7,0.0,-0.86,1
-0.2,1.96,-0.53,-0.42,-1.48,-0.26,0.28,1.05,4.12,-0.7,0.0,0.92,1
-0.2,-0.48,-0.36,-0.39,-1.48,-0.26,2.32,0.86,4.12,-0.7,0.0,-0.86,0
-0.2,2.4,1.3,-0.42,0.68,-0.26,3.34,1.05,-0.24,1.04,0.0,0.03,1
-0.2,-0.08,-0.11,-0.39,0.68,-0.26,-0.1,0.86,-0.24,1.04,0.0,0.92,0
5.05,-0.03,2.14,0.15,0.68,-0.26,-0.99,-0.77,4.12,-0.17,0.0,-1.75,0
-0.2,-0.03,-0.5,0.15,-1.48,-0.26,-0.21,1.05,-0.24,-0.7,0.0,0.92,0
-0.2,-0.03,3.99,-0.39,0.68,-0.26,-0.01,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,-1.36,-0.7,-0.42,-1.48,-0.26,-0.73,1.05,-0.24,-0.7,0.0,-0.86,1
-0.2,-0.03,2.14,-0.42,0.68,-0.26,-0.21,-0.23,-0.24,-0.17,0.0,0.92,0
-0.2,-0.57,-0.65,-0.42,0.68,-0.26,-0.99,0.14,-0.24,-0.7,0.0,-0.86,1
-0.2,0.04,-0.12,-0.15,0.68,-0.26,0.28,-0.59,-0.24,-0.17,0.0,0.92,0
-0.2,0.28,-0.36,-0.42,0.68,-0.26,1.73,0.21,-0.24,1.04,0.0,0.92,0
-0.2,-0.08,-0.24,-0.42,-1.48,-0.26,1.73,0.16,-0.24,-0.12,0.0,0.92,0
-0.2,-1.01,-0.85,0.15,-1.48,-0.26,-0.37,0.86,-0.24,-0.15,0.0,0.92,0
-0.2,-0.05,-0.28,-0.42,0.68,-0.26,-0.99,0.02,-0.24,-0.12,0.0,0.03,0
-0.2,-0.6,0.94,-0.42,0.68,3.88,1.3,-0.23,-0.24,-0.23,0.0,0.92,0
-0.2,-0.05,-0.28,-0.42,0.68,-0.26,1.73,-0.09,-0.24,1.04,0.0,0.03,0
-0.2,-0.57,-0.5,2.38,0.68,-0.26,0.28,-0.09,-0.24,-0.7,0.0,-0.86,0
-0.2,0.1,-0.74,2.38,-1.48,-0.26,-0.04,1.05,-0.24,-0.17,0.0,-0.86,0
